{epoch: 1605184459155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184461631, value: {x : 0.025, y : -0.034, z : 0.961}}
{epoch: 1605184461640, value: {x : 0.026, y : -0.034, z : 0.962}}
{epoch: 1605184461650, value: {x : 0.026, y : -0.033, z : 0.963}}
{epoch: 1605184461660, value: {x : 0.027, y : -0.031, z : 0.964}}
{epoch: 1605184461670, value: {x : 0.028, y : -0.030, z : 0.961}}
{epoch: 1605184461679, value: {x : 0.025, y : -0.033, z : 0.959}}
{epoch: 1605184461690, value: {x : 0.027, y : -0.035, z : 0.961}}
{epoch: 1605184461700, value: {x : 0.025, y : -0.032, z : 0.961}}
{epoch: 1605184461709, value: {x : 0.026, y : -0.034, z : 0.965}}
{epoch: 1605184461719, value: {x : 0.027, y : -0.035, z : 0.959}}
{epoch: 1605184461729, value: {x : 0.026, y : -0.034, z : 0.960}}
{epoch: 1605184461739, value: {x : 0.027, y : -0.034, z : 0.964}}
{epoch: 1605184461748, value: {x : 0.028, y : -0.033, z : 0.963}}
{epoch: 1605184461758, value: {x : 0.027, y : -0.033, z : 0.961}}
{epoch: 1605184461769, value: {x : 0.027, y : -0.035, z : 0.961}}
{epoch: 1605184461779, value: {x : 0.025, y : -0.033, z : 0.960}}
{epoch: 1605184461788, value: {x : 0.027, y : -0.032, z : 0.963}}
{epoch: 1605184461798, value: {x : 0.026, y : -0.035, z : 0.965}}
{epoch: 1605184461808, value: {x : 0.027, y : -0.035, z : 0.963}}
{epoch: 1605184461818, value: {x : 0.026, y : -0.032, z : 0.962}}
{epoch: 1605184461827, value: {x : 0.026, y : -0.033, z : 0.965}}
{epoch: 1605184461837, value: {x : 0.027, y : -0.032, z : 0.960}}
{epoch: 1605184461848, value: {x : 0.027, y : -0.032, z : 0.961}}
{epoch: 1605184461858, value: {x : 0.026, y : -0.032, z : 0.959}}
{epoch: 1605184461867, value: {x : 0.027, y : -0.030, z : 0.960}}
{epoch: 1605184461877, value: {x : 0.029, y : -0.038, z : 0.963}}
